Subject,CourseTitle,CourseDescription,Component,Section,ClassNbr,Instructor,RequisitesAndConstraints,CreditUnits,Status,Waitlist,Campus,DeliveryType,Days/Times/Location,id,name,Times
Actuarial Science,ACTURSCI 4824A - SHORT TERM ACTUARIAL MATH II,"Course Description: Selection, calibration, and validation of parametric models for insurance losses; credibility theory; short term reserving and pricing; reinsurance coverages. Extra Information: 3 lecture hours.",LEC,001,4854,A. Hassanzadeh,"REQUISITES: Prerequisite(s): A minimum mark of 60% in Statistical Sciences 3858A/B. Restricted to students enroled in any Actuarial Science module, or those registered in the Honours Specialization module in Statistics or the Honours Specialization in Financial Modelling module.",0.50,Not Full,0,Main,In Person,"  Tu       10:30 AM - 11:30 AM WSC-240
      Th   10:30 AM - 12:30 PM WSC-240",ACTURSCI 4824A,SHORT TERM ACTUARIAL MATH II,"[{'day': 'Tuesday', 'start': '10:30 AM', 'end': '11:30 AM'}, {'day': 'Thursday', 'start': '10:30 AM', 'end': '12:30 PM'}]"
Actuarial Science,ACTURSCI 4824A - SHORT TERM ACTUARIAL MATH II,"Course Description: Selection, calibration, and validation of parametric models for insurance losses; credibility theory; short term reserving and pricing; reinsurance coverages. Extra Information: 3 lecture hours.",LEC,001,4854,A. Hassanzadeh,"REQUISITES: Prerequisite(s): A minimum mark of 60% in Statistical Sciences 3858A/B. Restricted to students enroled in any Actuarial Science module, or those registered in the Honours Specialization module in Statistics or the Honours Specialization in Financial Modelling module.",0.50,Not Full,0,Main,In Person,"  Tu       10:30 AM - 11:30 AM WSC-240
      Th   10:30 AM - 12:30 PM WSC-240",ACTURSCI 4824A,SHORT TERM ACTUARIAL MATH II,"[{'day': 'Tuesday', 'start': '10:30 AM', 'end': '11:30 AM'}, {'day': 'Thursday', 'start': '10:30 AM', 'end': '12:30 PM'}]"
American Studies,AMERICAN 2310G - AMERICAN NIGHTMARE,"Course Description: In the increasingly polarized culture of the US, one American’s dream often seems to be another American’s nightmare. This course introduces key ideas in American culture (the American Dream, American Exceptionalism, and American Identity), and examines recent socio-political movements such as #Black Lives Matter, #Me Too, and White Nationalism. Antirequisite(s): History 2310F/G. Extra Information: 2 lecture hours, 1 tutorial hour.",LEC,001,10856,"R. MacDougall
L. Shire",CROSS-LISTED WITH HISTORY 2310G. WAIT LIST OPTION AVAILABLE.,0.50,Not Full,0,Main,In Person,  Tu       10:30 AM - 12:30 PM WSC-55,AMERICAN 2310G,AMERICAN NIGHTMARE,"[{'day': 'Tuesday', 'start': '10:30 AM', 'end': '12:30 PM'}]"
American Studies,AMERICAN 3310F - ADVANCED AMERICAN STUDIES,"Course Description: What defines being “American”? How is the American identity constructed, and how and why is it frequently contested? This course employs an interdisciplinary approach to explore the meaning(s) and definition(s) of American identity from multiple viewpoints, and within the context of US history, politics, regions, values, and culture. Antirequisite(s): History 3310F/G. Extra Information: 2 seminar hours.",LEC,001,10881,A. Sendzikas,"CROSS-LISTED WITH HISTORY 3310F. WAIT LIST OPTION AVAILABLE.
REQUISITES: Prerequisite(s): 1.0 History course at the 2200 level or above OR enrolment in an American Studies module.",0.50,Full,0,Main,In Person,M         1:30 PM - 3:30 PM AHB-2B04,AMERICAN 3310F,ADVANCED AMERICAN STUDIES,"[{'day': 'Monday', 'start': '1:30 PM', 'end': '3:30 PM'}]"
American Studies,AMERICAN 4420E - IND THESIS IN AMERICAN STUDIES,Course Description: The subject will be selected by students in consultation with an instructor of their choice willing to give the course. This course will normally be open to fourth-year honours students who have achieved an average of at least 80% in their third year of the American Studies program. Permission of the department is also required. Extra Information: Restricted to Honours Students.,LEC,001,10903,,PERMISSION OF DEPARTMENT REQUIRED.,1.00,Full,0,Main,In Person,          -,AMERICAN 4420E,IND THESIS IN AMERICAN STUDIES,
Anatomy and Cell Biology,ANATCELL 2200B - SYSTEMIC ANATOMY,"Course Description: An introduction to the gross anatomical structures and functional connections of the core systems in the human body, including the musculoskeletal, circulatory, respiratory, gastrointestinal, urinary, and reproductive systems. Demonstrations reinforce and extend the lectures. Antirequisite(s): Health Sciences 2300A/B, Health Sciences 2330A/B, Health Sciences 3300A/B, Kinesiology 2222A/B, Kinesiology 3222A/B, the former Anatomy and Cell Biology 2221, the former Anatomy and Cell Biology 3319. Extra Information: 2 lecture hours, 1 demonstration hour. This is not a laboratory course.",LEC,001,9369,"T. Beveridge
M. Barbeau
S. Renaud",STUDENTS MUST ALSO REGISTER FOR AND ATTEND A LAB SECTION ON CAMPUS. PRIORITY INFORMATION IS ON BMSc WEBSITE: http://www.schulich.uwo.ca/bmsc/academic_resources/courses/access_to_courses.html. WAIT LIST OPTION AVAILABLE.,0.50,Not Full,12,Main,In Person,  Tu   Th   10:30 AM - 11:30 AM SEB-2200,ANATCELL 2200B,SYSTEMIC ANATOMY,"[{'day': 'Tuesday', 'start': '10:30 AM', 'end': '11:30 AM'}, {'day': 'Thursday', 'start': '10:30 AM', 'end': '11:30 AM'}]"
Anatomy and Cell Biology,ANATCELL 2200B - SYSTEMIC ANATOMY,"Course Description: An introduction to the gross anatomical structures and functional connections of the core systems in the human body, including the musculoskeletal, circulatory, respiratory, gastrointestinal, urinary, and reproductive systems. Demonstrations reinforce and extend the lectures. Antirequisite(s): Health Sciences 2300A/B, Health Sciences 2330A/B, Health Sciences 3300A/B, Kinesiology 2222A/B, Kinesiology 3222A/B, the former Anatomy and Cell Biology 2221, the former Anatomy and Cell Biology 3319. Extra Information: 2 lecture hours, 1 demonstration hour. This is not a laboratory course.",LEC,200,9370,"T. Beveridge
M. Barbeau
S. Renaud","BLENDED COURSE: ONLINE LECTURES. STUDENTS MUST ALSO REGISTER FOR AND ATTEND A LAB SECTION ON CAMPUS. ONLINE LECTURES OFFERED VIA ECHO 360. TU TH 10:30-11:20 AM. ATTENDANCE NOT REQUIRED FOR ONLINE LECTURE. ALL MATERIAL RECORDED FOR ACCESSIBILITY. HEADSET, MICROPHONE, HIGH SPEED INTERNET REQUIRED. PRIORITIES: http://www.schulich.uwo.ca/bmsc/academic_resources/courses/access_to_courses.html. WAIT LIST OPTION AVAILABLE.",0.50,Not Full,11,Main,Blended,  Tu   Th   10:30 AM - 11:30 AM SEB-2200,ANATCELL 2200B,SYSTEMIC ANATOMY,"[{'day': 'Tuesday', 'start': '10:30 AM', 'end': '11:30 AM'}, {'day': 'Thursday', 'start': '10:30 AM', 'end': '11:30 AM'}]"
Anatomy and Cell Biology,ANATCELL 3200A - FUNCTIONAL HUMAN NEUROANATOMY,"Course Description: An introduction to the central nervous system (CNS). Topics include: the basic structures and functional interconnections between subdivisions of the brain, spinal cord and autonomic nervous systems; CNS development; structures that protect and support the brain; and clinical conditions associated with disruption of the CNS. Demonstrations reinforce lecture material. Antirequisite(s): Health Sciences 3300A/B, Kinesiology 3222A/B, Rehabilitation Sciences 3062A/B, the former Anatomy and Cell Biology 2221, the former Anatomy and Cell Biology 3319. Extra Information: 2 lecture hours, 1 demonstration hour. This is not a laboratory course.",LEC,001,9379,"N. Rajakumar
M. Barbeau
D. Mitchell","STUDENTS MUST ALSO REGISTER FOR AND ATTEND A LAB SECTION ON CAMPUS. PRIORITY INFORMATION IS ON BMSc WEBSITE: http://www.schulich.uwo.ca/bmsc/academic_resources/courses/access_to_courses.html. WAIT LIST OPTION AVAILABLE.
REQUISITES: Prerequisite(s): Registration in third or fourth year. A background in introductory biology is recommended.",0.50,Not Full,0,Main,In Person,  Tu   Th   10:30 AM - 11:30 AM SEB-2200,ANATCELL 3200A,FUNCTIONAL HUMAN NEUROANATOMY,"[{'day': 'Tuesday', 'start': '10:30 AM', 'end': '11:30 AM'}, {'day': 'Thursday', 'start': '10:30 AM', 'end': '11:30 AM'}]"
Anatomy and Cell Biology,ANATCELL 3200A - FUNCTIONAL HUMAN NEUROANATOMY,"Course Description: An introduction to the central nervous system (CNS). Topics include: the basic structures and functional interconnections between subdivisions of the brain, spinal cord and autonomic nervous systems; CNS development; structures that protect and support the brain; and clinical conditions associated with disruption of the CNS. Demonstrations reinforce lecture material. Antirequisite(s): Health Sciences 3300A/B, Kinesiology 3222A/B, Rehabilitation Sciences 3062A/B, the former Anatomy and Cell Biology 2221, the former Anatomy and Cell Biology 3319. Extra Information: 2 lecture hours, 1 demonstration hour. This is not a laboratory course.",LEC,200,9380,"N. Rajakumar
M. Barbeau
D. Mitchell","BLENDED COURSE: ONLINE LECTURES. STUDENTS MUST ALSO REGISTER FOR AND ATTEND A LAB SECTION ON CAMPUS. ONLINE LECTURES OFFERED VIA ECHO 360. TU TH 10:30-11:20 AM. ATTENDANCE NOT REQUIRED FOR ONLINE LECTURE. ALL MATERIAL RECORDED FOR ACCESSIBILITY. HEADSET, MICROPHONE, HIGH SPEED INTERNET REQUIRED. PRIORITIES: http://www.schulich.uwo.ca/bmsc/academic_resources/courses/access_to_courses.html. WAIT LIST OPTION AVAILABLE.
REQUISITES: Prerequisite(s): Registration in third or fourth year. A background in introductory biology is recommended.",0.50,Not Full,0,Main,Blended,  Tu   Th   10:30 AM - 11:30 AM SEB-2200,ANATCELL 3200A,FUNCTIONAL HUMAN NEUROANATOMY,"[{'day': 'Tuesday', 'start': '10:30 AM', 'end': '11:30 AM'}, {'day': 'Thursday', 'start': '10:30 AM', 'end': '11:30 AM'}]"
Anatomy and Cell Biology,ANATCELL 3309 - MAMMALIAN HISTOLOGY,"Course Description: A detailed study of the cellular and microscopic structure of the various tissues and organ systems of the body, with emphasis on man and other mammals used in medical research. Systems are examined stressing the relations of structure to function. Extra Information: 2 lecture hours, 3 laboratory hours.",LEC,200,4169,"S. Schmid
M. Sandig
K. Rogers","BLENDED COURSE: IN-PERSON LECTURES. ONLINE ATTENDANCE AT LAB SESSION IS NOT MANDATORY. PRE-RECORDED LAB TALK: AVAILABLE MONDAYS BEFORE 3:30 P.M. LAB ASSIGNMENTS: AVAILABLE AT 3:30 P.M. MONDAYS AND DUE WITHIN 48 HOURS. DETAILS TO BE POSTED IN COURSE OWL SITE. PRIORITY INFORMATION IS ON BMSc WEBSITE: http://www.schulich.uwo.ca/bmsc/academic_resources/courses/access_to_courses.html. WAIT LIST OPTION AVAILABLE.
REQUISITES: Prerequisite(s): Registration in third or fourth year. Note: This course is recommended for students with a background in introductory biology.",1.00,Full,1,Main,Blended,  Tu   Th   11:30 AM - 12:30 PM SEB-2200,ANATCELL 3309,MAMMALIAN HISTOLOGY,"[{'day': 'Tuesday', 'start': '11:30 AM', 'end': '12:30 PM'}, {'day': 'Thursday', 'start': '11:30 AM', 'end': '12:30 PM'}]"
Anatomy and Cell Biology,ANATCELL 3309 - MAMMALIAN HISTOLOGY,"Course Description: A detailed study of the cellular and microscopic structure of the various tissues and organ systems of the body, with emphasis on man and other mammals used in medical research. Systems are examined stressing the relations of structure to function. Extra Information: 2 lecture hours, 3 laboratory hours.",LEC,650,5086,"S. Schmid
M. Sandig
K. Rogers","ONLINE COURSE OFFERED THROUGH ECHO360 ALP: LECTURES RECORDED TU TH 11:30 AM-12:30; PRE-RECORDED LAB TALK: AVAILABLE MONDAYS BEFORE 3:30 P.M. LAB ASSIGNMENTS: AVAILABLE AT 3:30 P.M. MONDAYS AND DUE WITHIN 48 HOURS. DETAILS TO BE POSTED IN COURSE OWL SITEPRIORITIES: http://www.schulich.uwo.ca/bmsc/academic_resources/courses/access_to_courses.html. WAIT LIST OPTION AVAILABLE.
REQUISITES: Prerequisite(s): Registration in third or fourth year. Note: This course is recommended for students with a background in introductory biology.",1.00,Full,3,Main,Distance Studies/Online,  Tu   Th   11:30 AM - 12:30 PM SEB-2200,ANATCELL 3309,MAMMALIAN HISTOLOGY,"[{'day': 'Tuesday', 'start': '11:30 AM', 'end': '12:30 PM'}, {'day': 'Thursday', 'start': '11:30 AM', 'end': '12:30 PM'}]"
Anatomy and Cell Biology,ANATCELL 3329B - MEDICAL CELL BIOLOGY,"Course Description: The study of the molecules and functions common to mammalian cells, the specializations that make differentiated cells distinct, and the diseases that result from the dysregulation or loss of these cellular functions. Topics will include cellular organization, biogenesis of organelles, and growth and differentiation from an experimental perspective. Antirequisite(s): The former Anatomy and Cell Biology 4429A. Extra Information: 2 lecture hours, 1 tutorial hour.",LEC,001,10667,"P. Lajoie
K. Singh
D. Laird
P. Walton
S. Penuela
T. Shepherd
S. Whitehead
S. Renaud","PRIORITY INFORMATION IS ON BMSc WEBSITE: http://www.schulich.uwo.ca/bmsc/academic_resources/courses/access_to_courses.html. WAIT LIST OPTION AVAILABLE.
REQUISITES: Prerequisite(s): Biology 2382A/B and Biology 2290F/G with marks of at least 60% in each. Pre-or Corequisite(s): Biology 3316A/B or Physiology 3140A.",0.50,Not Full,1,Main,In Person,"  Tu       10:30 AM - 11:30 AM DSB-3008
      Th   9:30 AM - 10:30 AM DSB-3008",ANATCELL 3329B,MEDICAL CELL BIOLOGY,"[{'day': 'Tuesday', 'start': '10:30 AM', 'end': '11:30 AM'}, {'day': 'Thursday', 'start': '9:30 AM', 'end': '10:30 AM'}]"
Anatomy and Cell Biology,ANATCELL 3329B - MEDICAL CELL BIOLOGY,"Course Description: The study of the molecules and functions common to mammalian cells, the specializations that make differentiated cells distinct, and the diseases that result from the dysregulation or loss of these cellular functions. Topics will include cellular organization, biogenesis of organelles, and growth and differentiation from an experimental perspective. Antirequisite(s): The former Anatomy and Cell Biology 4429A. Extra Information: 2 lecture hours, 1 tutorial hour.",LEC,001,10667,"P. Lajoie
K. Singh
D. Laird
P. Walton
S. Penuela
T. Shepherd
S. Whitehead
S. Renaud","PRIORITY INFORMATION IS ON BMSc WEBSITE: http://www.schulich.uwo.ca/bmsc/academic_resources/courses/access_to_courses.html. WAIT LIST OPTION AVAILABLE.
REQUISITES: Prerequisite(s): Biology 2382A/B and Biology 2290F/G with marks of at least 60% in each. Pre-or Corequisite(s): Biology 3316A/B or Physiology 3140A.",0.50,Not Full,1,Main,In Person,"  Tu       10:30 AM - 11:30 AM DSB-3008
      Th   9:30 AM - 10:30 AM DSB-3008",ANATCELL 3329B,MEDICAL CELL BIOLOGY,"[{'day': 'Tuesday', 'start': '10:30 AM', 'end': '11:30 AM'}, {'day': 'Thursday', 'start': '9:30 AM', 'end': '10:30 AM'}]"
Anatomy and Cell Biology,ANATCELL 3700G - MDRN APPS IN BIOMED RESEARCH,"Course Description: The focus is on the various research approaches, disease models, experimental designs, and analytical methods used to study and evaluate human disease. The course will use contemporary learning tools and a variety of evaluation and assessment methods. Examples will be taken from major diseases such as cancer and neurodegenerative disorders. Antirequisite(s): Pathology 3700F/G. Extra Information: 3 lecture/tutorial hours per week. Cross-listed with Pathology 3700F/G.",LEC,200,11974,"K. Singh
M. Duennwald","BLENDED COURSE: ASYNCHRONOUS ONLINE LECTURE; IN-PERSON TUTORIAL. PRIORITY INFORMATION IS ON BMSc WEBSITE: http://www.schulich.uwo.ca/bmsc/academic_resources/courses/access_to_courses.html. CROSS-LISTED WITH PAHTOLOGY 3700G. WAIT LIST OPTION AVAILABLE.
REQUISITES: Prerequisite(s): Biology 2382A/B with a mark of at least 60%; and one of Biology 2290F/G or Biology 2581A/B with a mark of at least 60%. Pre-or Corequisite(s): Biology 3316A/B or Physiology 3140A.",0.50,Not Full,1,Main,Blended,          -,ANATCELL 3700G,MDRN APPS IN BIOMED RESEARCH,
Anatomy and Cell Biology,ANATCELL 4200A - CADAV. ANAT.: MUSCULOSKELETAL,"Course Description: Advanced human anatomy course which integrates lecture material with cadaveric laboratory dissections to explain how physical injuries and clinical impairments are associated with the spatial and functional relationships between the major structures of the upper and lower limbs (bones, muscles, ligaments, innervation and vasculature). Antirequisite(s): The former Anatomy and Cell Biology 2221. Extra Information: 2 lecture hours, 3 laboratory hours. Restricted to students in Year 4 Honours Specialization modules in Kinesiology and students in basic medical science modules.",LEC,200,11968,B. Allman,"BLENDED COURSE: ASYNCHRONOUS ONLINE LECTURES. STUDENTS MUST ALSO REGISTER FOR AND ATTEND A LAB SECTION ON CAMPUS. PRIORITY INFORMATION IS ON BMSc WEBSITE: http://www.schulich.uwo.ca/bmsc/academic_resources/courses/access_to_courses.html. WAIT LIST OPTION AVAILABLE.
REQUISITES: Prerequisite(s): 0.5 course with a minimum mark of 80% from: Anatomy and Cell Biology 2200A/B, Health Sciences 2300A/B, Kinesiology 2222A/B; and 0.5 course with a minimum mark of 80% from: Anatomy and Cell Biology 3200A/B, Health Sciences 3300A/B, Kinesiology 3222A/B.",0.50,Not Full,0,Main,Blended,          -,ANATCELL 4200A,CADAV. ANAT.: MUSCULOSKELETAL,
